SellerName,SellerPct
SellerName_harboronemortgage,0.000821294
SellerName_floridacapitalbank,0.000818728
SellerName_citybanktexas,0.000816161
SellerName_legendlendingcorporation,0.000813594
SellerName_pikecreek,0.000811028
SellerName_willowbend,0.000785362
SellerName_delmarfinancial,0.000782796
SellerName_rossmortgage,0.000780229
SellerName_compassmortgage,0.000775096
SellerName_sunwestmortgage,0.00076483
SellerName_newfed,0.000741731
SellerName_mymortgageinc,0.000739165
SellerName_fidelitybankks,0.000736598
SellerName_wallickandvolk,0.000734032
SellerName_goldenoaklending,0.000728899
SellerName_kwikmortgage,0.000718632
SellerName_mortgageservicesiiillc,0.000718632
SellerName_shamrock,0.000716066
SellerName_royalpacific,0.000716066
SellerName_hancockbankwhitneybank,0.0006981
SellerName_cornerstonehomelending,0.0006981
SellerName_venta,0.000695533
SellerName_firstworldmortgage,0.000695533
SellerName_iservelending,0.0006904
SellerName_glacierbancorp,0.000682701
SellerName_weststar,0.000680134
SellerName_baycapitalmortgage,0.000672435
SellerName_gulfcoast,0.000662168
SellerName_laderalending,0.000651902
SellerName_northwestbank,0.000651902
SellerName_presidentialbank,0.000651902
SellerName_legacyhomeloansllc,0.000649336
SellerName_thelender,0.000649336
SellerName_mymovemortgage,0.000649336
SellerName_traditionmortgagellc,0.000646769
SellerName_northpointmortgage,0.000636503
SellerName_midcontinentfundinginc,0.000615971
SellerName_loanpeople,0.000610837
SellerName_pointmortgage,0.000600571
SellerName_pilgrim,0.000595438
SellerName_lenox,0.000580039
SellerName_watermarkhomeloans,0.000580039
SellerName_prestonhomeloansakalegacymortgage,0.000574906
SellerName_princetonmortgagecorporation,0.000572339
SellerName_universallendingcorporation,0.00055694
SellerName_northernmortgageservices,0.000544107
SellerName_acremortgage,0.000538974
SellerName_williamraveismortgagellc,0.000538974
SellerName_bondstreetmortgagellc,0.000538974
SellerName_homesolutionlendersinc,0.000536408
SellerName_southpointfinancialservicesinc,0.000536408
SellerName_integritymortgagecorporationoftexas,0.000533841
SellerName_universalmortgageandfinance,0.000533841
SellerName_residentialmortgagellc,0.000531275
SellerName_firstnationalbankofomaha,0.000526142
SellerName_southstatebank,0.000523575
SellerName_augustafinancial,0.000521008
SellerName_mountainwestfinancial,0.000515875
SellerName_independentbank,0.000510742
SellerName_mlmortgagecorp,0.000510742
SellerName_firstmeridian,0.000510742
SellerName_loanunited,0.000510742
SellerName_hometrustmortgage,0.000505609
SellerName_southernfirst,0.000495343
SellerName_securityhome,0.000492776
SellerName_greatplainsnationalbank,0.000485077
SellerName_mklendingcorp,0.000485077
SellerName_gsfmortgage,0.00048251
SellerName_mountainamericancreditunion,0.000474811
SellerName_firstalliance,0.000474811
SellerName_developersmortgagecompany,0.000469678
SellerName_mlbresidentiallending,0.000469678
SellerName_residentialwholesalemortgageinc,0.000469678
SellerName_dsldmortgagellc,0.000461978
SellerName_jmj,0.000459411
SellerName_,0.000459411
SellerName_usmortgageflorida,0.000456845
SellerName_homeserviceslending,0.000438879
SellerName_cibmbank,0.000438879
SellerName_commonwealthbankamptrust,0.000420913
SellerName_firstohiohomefinance,0.000418347
SellerName_firstbanktx,0.000418347
SellerName_primewest,0.000418347
SellerName_sentemortgage,0.00041578
SellerName_mld,0.000413214
SellerName_washingtonfirst,0.000410647
SellerName_greatwestern,0.000408081
SellerName_directionsequityhomeloan,0.000402947
SellerName_emetlending,0.000392681
SellerName_unitedhomeloans,0.000384982
SellerName_semperhomeloans,0.000379849
SellerName_citbank,0.000377282
SellerName_ctcmortgage,0.000374715
SellerName_homemortgagealliancecorporation,0.000369582
SellerName_firstcommonwealth,0.000369582
SellerName_premierlendinginc,0.000359316
SellerName_vacreditunion,0.000359316
SellerName_charterwestnationalbank,0.000359316
SellerName_amerantbanknationalassociation,0.000354183
SellerName_dignifiedhome,0.000346483
SellerName_mortgagesolutions,0.000343917
SellerName_summitmortgagecorporationor,0.000338784
SellerName_flexpointinc,0.000338784
SellerName_nealcommunities,0.000336217
SellerName_sunamerican,0.000333651
SellerName_scenicoaksfundinginc,0.000333651
SellerName_contourmortgagecorporation,0.000331084
SellerName_firststatebank,0.000320818
SellerName_province,0.000320818
SellerName_bank5,0.000318251
SellerName_megastar,0.000315685
SellerName_severnsavingsbankfsb,0.000313118
SellerName_theunionbankcompany,0.000313118
SellerName_trinityoaksmortgage,0.000310552
SellerName_crescentmortgagecompany,0.000302852
SellerName_ogimortgage,0.000300286
SellerName_leaderscreditunion,0.000297719
SellerName_philadelphiamortgageadvisors,0.000295153
SellerName_guarantytrustcompany,0.000295153
SellerName_prosperitybankhomeloancenter,0.000290019
SellerName_amlfundingllc,0.000287453
SellerName_mortgageoneinc,0.000287453
SellerName_cambriafinancialgroupllc,0.000284886
SellerName_northstatebank,0.000277187
SellerName_hometrustbank,0.00027462
SellerName_midpennbank,0.000269487
SellerName_mortgagecapitalpartners,0.000256654
SellerName_wmsseriesllc,0.000243822
SellerName_midlandstatesbankeffinghamil,0.000236122
SellerName_missionmortgage,0.000236122
SellerName_homebridgefinancialservices,0.000233556
SellerName_citylendinginc,0.000230989
SellerName_firststandardfinancialcorp,0.000230989
SellerName_mortgageequitypartnersllc,0.000228422
SellerName_googain,0.000225856
SellerName_aaalendings,0.000225856
SellerName_hightech,0.000223289
SellerName_legendsbank,0.000213023
SellerName_unitednorthern,0.000210457
SellerName_accessnational,0.000202757
SellerName_firstnations,0.000202757
SellerName_fultonbank,0.00020019
SellerName_chicagofinancialservices,0.00020019
SellerName_firstsecuritybankofwashington,0.000197624
SellerName_unitedcommunitybank,0.000197624
SellerName_washingtontrustmortgagecompanyllc,0.000184791
SellerName_firstnationalbankofmiddletennessee,0.000177092
SellerName_encompasslendinggroup,0.000171958
SellerName_theandersonfinancialgroupinc,0.000171958
SellerName_firstcolonialnb,0.000169392
SellerName_creditunionmortgage,0.000169392
SellerName_landhome,0.000161692
SellerName_jvirgilinc,0.000161692
SellerName_meridianbank,0.000161692
SellerName_starboardfinancialmanagement,0.000159126
SellerName_amnetesopcorporation,0.000156559
SellerName_jerseymortgagecompanyofnewjerseyinc,0.000153993
SellerName_freedomfirstcreditunion,0.000151426
SellerName_firstfinancialbank,0.00014886
SellerName_orionfederalcreditunion,0.00014886
SellerName_1st2ndmortgagecoofnj,0.000138593
SellerName_greenway,0.000138593
SellerName_sofibankna,0.00013346
SellerName_beckamfundingcorp,0.00013346
SellerName_firstwesterntrust,0.00013346
SellerName_sierrapacific,0.000130894
SellerName_patriothomemortgage,0.000128327
SellerName_firstnationalbankofpa,0.000123194
SellerName_meadowbrookfinancialmortgagebankerscorp,0.000120628
SellerName_oceansidemortgagecompany,0.000118061
SellerName_stronghomemortgagellc,0.000110361
SellerName_washingtontrust,0.000105228
SellerName_themortgagecompany,0.000102662
SellerName_nexera,0.000102662
SellerName_americannationalbank,0.000100095
SellerName_federatedmortgagecorp,0.000100095
SellerName_bremerbanknastcloudmn,9.75E-05
SellerName_carrolltonbank,9.24E-05
SellerName_archomellc,8.73E-05
SellerName_capitalmortgageservices,8.73E-05
SellerName_firstequitymortgagebankers,8.47E-05
SellerName_aafmaa,8.21E-05
SellerName_platinumhome,7.70E-05
SellerName_greaternevadamortgage,7.44E-05
SellerName_alpinebank,7.44E-05
SellerName_michiganfirstcu,7.19E-05
SellerName_millenium,6.93E-05
SellerName_stgmortgage,6.93E-05
SellerName_mdehomeloansllc,6.67E-05
SellerName_thestatebankandtrustcompany,6.16E-05
SellerName_republicbankamptrustco,6.16E-05
SellerName_cypruscreditunion,5.65E-05
SellerName_rossmortgagecompany,5.39E-05
SellerName_universitybank,5.13E-05
