LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,MarginPrice,WinBit,uidentifier
1934518,inspirehomeloans,mct,0,7,298291,298291,6.75,singlefamily,primaryresidence,1,conf,purchase,full,du,755,95,95,1,0,fl,other,other,fixed,360,fnmafixed30homeready,0,0,0,1,0,other,other,other,1,0,1,security,fnma,buyup,fnf30s,fl,6,0.25,0,0.03,0,98.639871,0,0.007812,320,0,0,0,0,0,0,0.6562,4,6.206,4.819,4.18,5.81,46.4,5394,0,-0.3241,0.059871,0,1
1934519,inspirehomeloans,mct,0,7,207992,207992,8,pud,primaryresidence,1,conf,purchase,full,du,756,80,80,0,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,buyup,fgf30s,bal 225k,7,0.25,0.25,0.01,0,103.027313,-0.875,0.53125,320,0,0,0,0,0,0,0.0115,1,4.255,3.677,2.61,4.11,15.5,12083.33,0,-0.3241,0.100313,1,1
1934520,inspirehomeloans,mct,0,7,226490,226490,7.875,singlefamily,primaryresidence,1,conf,purchase,full,du,752,84.357,84.357,1,0,mi,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,cap,fgf30s,bal 250k,7,0.25,0.135,0,0,102.449128,-1,0.3125,320,0,0,0,0,0,0,0.0314,4,5.102,3.749,2.74,4.24,37.8,8727,0,-0.3241,0.120128,1,1
1934521,inspirehomeloans,mct,0,7,399263,390860,7.25,pud,primaryresidence,1,va,purchase,full,du,697,100,100,1,0,az,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,101.994173,0,0.164062,320,0,0,0,0,0,0,0,4,3.954,2.879,0,0,49.7,10068.34,0,-0.3241,-0.049827,0,1
1934522,inspirehomeloans,mct,0,7,486372,478007,5.25,pud,primaryresidence,1,fha,purchase,full,du,745,95,95,1,0,tx,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0,0,0,94.412559,0,0.001953,320,0,0,0,0,0,0,0,7,8.294,5.43,0,0,45.3,15529.09,0,-0.3241,0.640209,0,1
1934523,inspirehomeloans,mct,0,7,195192,195192,7.375,pud,primaryresidence,1,conf,purchase,full,du,759,80,80,1,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,cap,fgf30s,bal 200k,6.5,0.25,0.135,0,0,101.267318,-0.875,0.6875,320,0,0,0,0,0,0,0.0188,6,4.821,4.066,3.23,4.73,42.3,4823.58,0,-0.3241,0.000497,0,1
1934524,inspirehomeloans,mct,0,7,500752,492140,5.25,pud,primaryresidence,1,fha,purchase,full,du,654,96.5,96.5,1,0,co,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0,0,0,93.483855,0,0.001953,320,0,0,0,0,0,0,0,4,3.426,4.5,0,0,41.3,11250,0,-0.3241,2.940021,0,1
1934525,inspirehomeloans,mct,0,7,209219,209219,6.875,singlefamily,primaryresidence,1,conf,purchase,full,du,764,97,97,1,0,nc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fnma,buyup,fnf30s,bal 225k,6,0.25,0,0.155,0,99.094003,-0.25,0.21875,320,0,0,0,0,0,0,0.0385,5,6.119,5.376,4.08,5.67,39.3,4574.36,0,-0.3241,0.030003,0,1
1934526,inspirehomeloans,mct,0,7,525990,525990,7.25,pud,primaryresidence,1,va,purchase,full,du,751,100,100,1,0,nv,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,7,0.19,0,0,0,102.049918,0,0.164062,320,0,0,0,0,0,0,0,7,4.247,2.588,0,0,59.1,11923.06,0,-0.3241,-0.000303,0,1
1934527,inspirehomeloans,mct,0,7,330585,324900,5.5,singlefamily,primaryresidence,1,fha,purchase,full,du,709,95,95,1,0,mi,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,95.406379,0,0.001953,320,0,0,0,0,0,0,0,5,6.805,5.042,0,0,43.4,12366.16,0,-0.3241,0.259977,0,1
1934528,inspirehomeloans,mct,0,7,333656,333656,7.375,pud,primaryresidence,1,conf,purchase,full,du,755,80,80,0,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.135,0,0,100.188679,-0.875,0.000122,320,0,0,0,0,0,0,0.0177,1,4.794,4.01,3.23,4.73,41.9,9978.62,0,-0.3241,0.019679,0,1
1934529,inspirehomeloans,mct,0,7,387787,387787,7.375,pud,primaryresidence,1,conf,purchase,full,du,724,85,85,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,1,0,1,security,fnma,buyup,fnf30s,newprod,6.5,0.25,0,0.155,0,99.815485,-1.25,0.000122,320,0,0,0,0,0,0,0.6477,1,5.576,4.003,3.631,5.061,46.9,6958.34,0,-0.3241,-0.579977,1,1
1934530,inspirehomeloans,mct,0,7,519992,519992,5.875,pud,primaryresidence,1,conf,purchase,full,du,750,80,80,1,0,wa,other,other,fixed,360,fnmafixed30homeready,0,0,0,1,0,other,other,other,1,0,1,security,fnma,buyup,fnf30s,newprod,5,0.25,0,0.155,0,94.046624,0,0.000122,320,0,0,0,0,0,0,0.5834,1,6.051,4.773,4.78,6.65,50,8341.25,0,-0.3241,0.019624,0,1
1934531,inspirehomeloans,mct,0,7,539904,530619,6.25,pud,primaryresidence,1,fha,purchase,full,du,672,96.5,96.5,1,0,ca,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0,0,0,98.535856,0,0.007812,320,0,0,0,0,0,0,0,6,3.955,4.129,0,0,51.8,12683.9,0,-0.3241,-0.00026,0,1
1934532,inspirehomeloans,mct,0,7,487372,478990,5.5,pud,primaryresidence,1,fha,purchase,full,du,711,88.703,88.703,1,0,co,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,5,0.19,0.25,0,0,95.117365,0,0.001953,320,0,0,0,0,0,0,0,4,6.203,4.349,0,0,57,8201.11,0,-0.3241,0.070365,0,1
1934533,inspirehomeloans,mct,0,7,638860,638860,8.375,pud,primaryresidence,1,conf,purchase,full,du,721,90,90,1,0,ca,other,other,fixed,360,fnmafixed30,0,0,0,0,0,other,other,other,0,0,1,security,fglmc,cap,fgf30s,newprod,7.5,0.25,0.135,0,0,102.814947,-1,0.000122,320,0,0,0,0,0,0,0.1211,4,4.166,2.775,2.38,3.88,30.7,21276,0,-0.3241,0.019947,1,1
1934534,inspirehomeloans,mct,0,7,695000,695000,6.5,pud,primaryresidence,1,va,purchase,full,du,744,99.209,99.209,1,0,ca,other,other,fixed,360,vafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6,0.19,0.25,0,0,99.52503,0,0.007812,320,0,0,0,0,0,0,0,5,5.066,3.047,0,0,54.3,14532.14,0,-0.3241,-0.13092,1,1
1934535,inspirehomeloans,mct,0,7,417302,410125,6.75,pud,primaryresidence,1,fha,purchase,full,du,795,96.5,96.5,1,0,ga,other,other,fixed,360,fhafixed30,0,0,0,0,0,other,other,other,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,101.021077,0,0.046875,320,0,0,0,0,0,0,0,4,7.137,4.819,0,0,40.5,14633.9,0,-0.3241,0.410077,0,1
