LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice,WinBit,MarginPrice
1878801,aandnmortgageservices,mct,0,7,210000,210000,6.75,singlefamily,primaryresidence,1,conf,purchase,full,lp,775,67.742,67.742,1,0,il,other,other,fixed,360,fhlmcfixed30homepossible,0,0,0,1,1,moderate,high,low,0,0,1,security,fglmc,cap,fgf30s,bal 225k,6,0.25,0.01,0,0,99.605397,0,0.25,320,0,1,0,0,0,0,0,3,6.074,4.264,3.673,5.069,41.7,6866.83,0,-0.3677,0,-0.23955
1878802,aandnmortgageservices,mct,0,7,332500,332500,7.999,singlefamily,primaryresidence,1,conf,purchase,full,lp,714,95,95,1,0,il,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,buyup,fgf30s,ltv  95,7,0.25,0.25,0.009,0,101.856007,-1.125,0.003906,320,0,0,0,0,0,0,0,3,4.696,3.299,2.66,4.267,32.5,12716.66,0,-0.3677,0,-0.000003
1878803,aandnmortgageservices,mct,0,7,450000,450000,7.375,condo,primaryresidence,1,conf,purchase,full,lp,788,69.231,69.231,1,1,il,other,other,fixed,360,fhlmcfixed30,0,0,0,0,0,upper,high,low,0,0,1,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.135,0,0,100.727588,-0.125,0.000122,320,0,0,0,0,0,0,0,3,4.755,2.602,2.926,4.527,31,16500,0,-0.3677,0,0.000281
1878804,networkfunding,mct,0,7,424000,424000,7.5,pud,primaryresidence,1,conf,purchase,full,du,772,80,80,1,1,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,buyup,fgf30s,tx,6.5,0.25,0.25,0.01,0,100.955653,-0.625,0.003906,320,0,0,0,0,0,0,0.1339,10,5.506,3.424,2.809,4.412,49.6,30808.75,0,-0.3677,0,0.160331
1878805,networkfunding,mct,0,7,536000,536000,7.625,pud,primaryresidence,1,conf,purchase,full,du,752,80,80,0,0,tx,other,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,buyup,fgf30s,tx,6.5,0.25,0.25,0.135,0,100.916785,-0.875,0.003906,320,0,0,0,0,0,0,0.0216,10,4.736,3.666,2.713,4.317,34.6,16122,0,-0.3677,0,0.180203
1878806,networkfunding,mct,0,7,595000,595000,7.625,pud,primaryresidence,1,conf,purchase,full,du,732,70,95,1,0,tx,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,1,security,fglmc,buyup,fgf30s,tx,6.5,0.25,0.25,0.135,0,101.127093,-0.875,0.003906,320,0,0,0,0,0,0,0.0544,6,5.774,3.467,2.713,4.317,43.6,23063.97,0,-0.3677,0,0.169509
1878809,networkfunding,mct,0,7,336000,336000,7.375,pud,primaryresidence,1,conf,purchase,full,lp,794,80,80,1,1,fl,other,other,fixed,360,fhlmcfixed30,1,0,0,0,0,middle,middle,lower middle,0,0,1,security,fglmc,cap,fgf30s,fl,6.5,0.25,0.135,0,0,101.17253,0,0.007812,320,0,0,0,0,0,0,0,6,5.42,3.686,2.926,4.527,43.4,7729.27,0,-0.3677,1,0.000215
1878812,networkfunding,mct,0,7,266475,266475,5.625,singlefamily,primaryresidence,1,conf,purchase,full,lp,760,85,85,1,0,fl,other,other,fixed,360,fhlmcfixed30,1,0,0,0,1,middle,moderate,upper middle,0,1,1,security,fglmc,buyup,fgf30s,newprod,4.5,0.25,0.25,0.135,0,94.139087,0,0.000122,320,0,1,0,1,0,1,0,10,6.828,5.616,5.153,6.449,34.6,5713.07,0,-0.3677,0,0.011818
1878813,networkfunding,mct,0,7,250600,250600,7.625,pud,secondhome,1,conf,purchase,full,lp,701,70,70,1,0,fl,other,other,fixed,240,fhlmcfixed20,0,0,0,0,0,upper,middle,upper middle,0,0,1,security,fglmc,buyup,fgf20s,newprod,6.5,0.25,0.25,0.16,0,100.232278,-2,0,320,0,0,0,0,0,0,0,10,5.053,3.53,2.647,3.981,32,16390.58,0,-0.3677,0,-0.000342
1878815,networkfunding,mct,0,7,430402,423000,6.75,singlefamily,primaryresidence,1,fha,purchase,full,du,671,90,90,1,0,tx,other,other,fixed,360,fhafixed30,1,0,0,0,0,upper,middle,upper middle,0,0,1,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,100.589802,0,0.058593,320,0,0,0,0,0,0,0,10,5.382,4.334,0,0,30.6,22118.23,0,-0.3677,0,0.039835
1878816,networkfunding,mct,0,7,184000,184000,7.375,singlefamily,primaryresidence,1,conf,refi,full,lp,713,52.273,52.273,1,0,tx,cashout,other,fixed,360,fhlmcfixed30,0,0,0,0,1,moderate,middle,upper middle,0,0,1,security,fglmc,cap,fgf30s,bal 200k,6.5,0.25,0.135,0,0,101.928549,-0.5,0.6875,320,0,0,1,0,0,0,0,6,7.084,4.86,2.926,4.527,49.4,4262.95,0,-0.3677,0,0.070223
