LookId,SellerName,HedgeAdvisorName,AbaMemberBit,CommitPeriodGrp,LoanAmt,BaseLoanAmt,NoteRate,PropTypeName,PropUsageTypeName,PropUnitsCnt,MtgTypeName,LoanPurposeTypeName,DocumentationTypeName,AusTypeName,CreditScoreNum,LtvRatio,CltvRatio,EscrowImpoundBit,AppraisalWaiverBit,PropStateCd,RefiTypeName,RefiProgTypeName,AmortTypeName,AmortTermMonthsGrp,UnderwritingProgName,FirstTimeHomeBuyerBit,HighBalBit,PriorYrHighBalBit,GseAffordableProgBit,CraEligBit,BorrowerIncomeTypeName,CensusTractIncomeTypeName,CensusTractMinorityTypeName,LqaYellowBit,AmiLlpaCapEligBit,EligBit,ExecTypeName,ExecInvestorName,ExecMethodName,ProdCd,SpecName,Cpn,BaseSrvRate,ExcessSrvRate,BuyUpRate,BuyDnRate,BreakevenPrice,LlpaPrice,SpecPayupPrice,FeeAmt,VlipBit,LipBit,LirBit,LadBit,LacsBit,MasBit,LqaYellowProb,LoanAgeDays,BaseSrvMult,ExcessSrvMult,BuyUpMult,BuyDnMult,TotalDebtExpenseRatio,TotalMonthlyVerifiedIncomeAmt,UnknownTotalMonthlyVerifiedIncomeAmtBit,BenchMarginPrice
1973954,onetrust,mct,0,7,276250,276250,7.25,condo,investment,1,conf,purchase,full,du,791,85,85,1,0,sc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,very low,0,0,0,security,fglmc,cap,fgf30s,nonowner,6.5,0.25,0.01,0,0,96.778409,-5.25,0.21875,320,0,0,0,0,0,0,0.0065,149,5.464,4.317,3.035,4.435,26.5,22065.97,0,-0.1873
1973955,onetrust,mct,0,7,297500,297500,7.25,singlefamily,investment,1,conf,purchase,full,du,772,85,85,1,0,ga,other,other,fixed,360,fnmafixed30,0,0,0,0,1,middle,moderate,upper middle,0,0,0,security,fglmc,cap,fgf30s,nonowner,6.5,0.25,0.01,0,0,97.276859,-4.75,0.21875,320,0,0,0,0,0,0,0.015,147,5.462,4.071,3.035,4.435,39.2,6413.33,0,-0.1873
1973956,onetrust,mct,0,7,222080,222080,7.25,pud,investment,1,conf,purchase,full,du,744,85,85,1,0,nc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,upper middle,0,0,0,security,fglmc,cap,fgf30s,bal 225k,6.5,0.25,0.01,0,0,97.342793,-5.125,0.75,320,0,0,0,0,0,0,0.0296,149,5.099,4.103,3.035,4.435,33.5,10467.19,0,-0.1873
1973957,onetrust,mct,0,7,346500,346500,7,pud,secondhome,1,conf,purchase,full,du,778,90,90,1,0,sc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,high,lower middle,0,0,0,security,fglmc,buyup,fgf30s,newprod,6,0.25,0.25,0.01,0,96.549767,-4.625,0.001953,320,0,0,0,0,0,0,0.0326,136,5.37,4.097,3.442,4.742,45.9,21097.72,0,-0.1873
1973958,onetrust,mct,0,7,383400,383400,7.25,pud,secondhome,1,conf,purchase,full,du,785,90,90,1,0,nc,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,low,0,0,0,security,fglmc,cap,fgf30s,newprod,6.5,0.25,0.01,0,0,97.327948,-4.375,0.000122,320,0,0,0,0,0,0,0.0256,107,5.06,3.598,3.035,4.435,46.5,11659.84,0,-0.1873
1974027,onetrust,mct,0,7,1180000,1180000,4.75,singlefamily,primaryresidence,1,va,refi,full,du,698,100,100,1,0,nc,nocashout,irrrl,fixed,360,irrrlfixed30highbal,0,1,1,0,0,upper,middle,very low,0,0,0,security,gnmaii,gnsec,g2f30s,hb,4.5,0.19,0,0,0,91.177278,0,-2.03125,320,0,0,0,0,0,0,0,157,5.838,3.648,0,0,19.8,38647.06,0,-0.1873
1974029,onetrust,mct,0,7,469905,469905,5.5,pud,primaryresidence,1,conf,refi,full,du,790,75.791,75.791,1,0,nc,nocashout,other,fixed,360,fnmafixed30,1,0,0,0,0,upper,middle,low,0,0,0,security,fglmc,buyup,fgf30s,newprod,4.5,0.25,0.25,0.01,0,93.854737,-0.5,0.000122,320,0,0,0,0,0,0,0.0067,119,6.617,5.139,5.109,6.309,33.2,14350.01,0,-0.1873
1974058,onetrust,mct,0,7,630000,630000,6.75,pud,primaryresidence,1,conf,refi,full,du,808,63,63,0,0,sc,nocashout,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,lower middle,0,0,0,security,fglmc,cap,fgf30s,newprod,6,0.25,0.01,0,0,100.015992,0,0.001953,320,0,0,0,0,0,0,0.0067,92,4.823,3.772,3.779,5.079,38.8,14003.34,0,-0.1873
1974060,onetrust,mct,0,7,326114,320506,6.75,pud,primaryresidence,1,fha,refi,full,du,776,66.772,66.772,1,0,nc,nocashout,other,fixed,360,fhafixed30,0,0,0,0,0,upper,middle,low,0,0,0,security,gnmaii,gnsec,g2f30s,newprod,6.5,0.19,0,0,0,101.668743,0,0.03125,320,0,0,0,0,0,0,0,92,5.565,2.921,0,0,54.3,7762.88,0,-0.1873
1974173,onetrust,mct,0,7,360000,360000,6.25,pud,secondhome,1,conf,purchase,full,du,745,90,90,1,0,az,other,other,fixed,360,fnmafixed30,0,0,0,0,0,upper,middle,upper middle,1,0,0,security,fnma,buyup,fnf30s,newprod,5.5,0.25,0,0.03,0,92.837859,-4.875,0.000122,320,0,0,0,0,0,0,0.2537,176,5.087,3.899,4.366,6.076,48.1,12500,0,-0.1873
